title,author,genre,level,number_in,number_out,available
1984,George Orwell,Classics,Z,1,0,TRUE
145th Street: Short Stories,Walter Dean Myers,Realistic Fiction,Z,1,0,TRUE
A Break with Charity: A Story About the Salem Witch Trials,Ann Rinaldi,Historical Fiction,X,1,0,TRUE
A Cool Moonlight,Angela Johnson,Realistic Fiction,X,2,0,TRUE
A Corner of the Universe,Ann M. Martin,Realistic Fiction,Y,1,0,TRUE
A James Bond Adventure: Hurricane Gold,Charlie Higson,Adventure,W,2,0,TRUE
A Jigsaw Jones Mystery: The Case of the Christmas Snowman (Book 2),James Preller,Mystery,N,1,0,TRUE
A Jigsaw Jones Mystery: The Case of the Secret Valentine (Book 3),James Preller,Mystery,N,1,0,TRUE
A Jigsaw Jones Mystery: The Case of the Spooky Sleepover (Book 4),James Preller,Mystery,N,1,0,TRUE
A Jigsaw Jones Mystery: The Case of the Stolen Baseball Cards (Book 5),James Preller,Mystery,N,1,0,TRUE
A Little Princess,Frances Hodgson Burnett,Classics,O,1,0,TRUE
A Long Walk to Water,Linda Sue Park,Realistic Fiction,RST,6,0,TRUE
Bluford High: A Matter of Trust,Anne Schraff,Realistic Fiction,Z,1,0,TRUE
A Series of Unfortunate Events: The Austere Academy (Book 5),Lemony Snicket,Adventure,V,5,0,TRUE
A Series of Unfortunate Events: The Bad Beginning (Book 1),Lemony Snicket,Adventure,V,3,0,TRUE
A Series of Unfortunate Events: The Carniverous Carnival (Book 9),Lemony Snicket,Adventure,V,2,0,TRUE
A Series of Unfortunate Events: The End (Book 13),Lemony Snicket,Adventure,V,3,0,TRUE
A Series of Unfortunate Events: The Ersatz Elevator (Book 6),Lemony Snicket,Adventure,V,5,0,TRUE
A Series of Unfortunate Events: The Grim Grotto (Book 11),Lemony Snicket,Adventure,V,2,0,TRUE
A Series of Unfortunate Events: The Miserable Mill (Book 4),Lemony Snicket,Adventure,V,4,0,TRUE
A Series of Unfortunate Events: The Penultimate Peril (Book 12),Lemony Snicket,Adventure,V,3,0,TRUE
A Series of Unfortunate Events: The Reptile Room (Book 2),Lemony Snicket,Adventure,V,2,0,TRUE
A Series of Unfortunate Events: The Slippery Slope (Book 10),Lemony Snicket,Adventure,V,2,0,TRUE
A Series of Unfortunate Events: The Vile Village (Book 7),Lemony Snicket,Adventure,V,3,0,TRUE
A Series of Unfortunate Events: The Wide Window (Book 3),Lemony Snicket,Adventure,V,5,0,TRUE
A Series of Unfortunate Events: The Hostile Hospital (Book 8),Lemony Snicket,Adventure,V,2,0,TRUE
A Single Shard,Linda Sue Park,Historical Fiction,U,1,0,TRUE
A Step From Heaven,An Na,Multicultural,OPQ,1,0,TRUE
A Swiftly Tilting Planet,Madeleine L'Engle,Science Fiction,V,1,0,TRUE
A Tale Dark and Grimm,Adam Gidwitz,Mystery/Horror,V,1,0,TRUE
A Wind in the Door,Madeleine L'Engle,Fantasy,W,1,0,TRUE
A Wrinkle in Time,Madeleine L'Engle,Science Fiction,W,3,0,TRUE
A Zombie's Guide to the Human Body: Tasty Tidbits From Head to Toe,Paul Beck,Non-Fiction,X,1,0,TRUE
Adam Canfield of the Slash,Michael Winerip,Mystery,U,1,0,TRUE
Adrift: Seventy-six Days Lost at Sea,Steven Callahan,Memoir,Z,1,0,TRUE
Adventures of Amelia Bedelia,Peggy Parish,Humor,L,1,0,TRUE
Alex Rider: Ark Angel (Book 6),Anthony Horowitz,Adventure,W,1,0,TRUE
Alex Rider: Crocodile Tears (Book 8),Anthony Horowitz,Adventure,W,1,0,TRUE
Alex Rider: Eagle Strike (Book 4),Anthony Horowitz,Adventure,W,1,0,TRUE
Alex Rider: Point Blank (Book 2),Anthony Horowitz,Adventure,W,2,0,TRUE
Alex Rider: Scorpia Rising (Book 9),Anthony Horowitz,Adventure,W,1,0,TRUE
Alex Rider: Skeleton Key (Book 3),Anthony Horowitz,Adventure,W,1,0,TRUE
Alex Rider: Snakehead (Book 7),Anthony Horowitz,Adventure,W,1,0,TRUE
Alice's Adventure in Wonderland,Lewis Carroll,Classics,T,1,0,TRUE
Alien on a Rampage,Clete Barrett Smith,Science Fiction,,1,0,TRUE
Almost Home,Joan Bauer,Realistic Fiction,Z,2,0,TRUE
An Island Like You: Stories of the Barrio,Judith Ortiz Cofer,Short Stories,Z,1,0,TRUE
Animorphs: The Alien (Book 8),K.A. Applegate,Science Fiction,T,1,0,TRUE
Animorphs: The Beginning (54),K.A. Applegate,Science Fiction,T,1,0,TRUE
Animorphs: The Change (Book 13),K.A. Applegate,Science Fiction,T,1,0,TRUE
Animorphs: The Conspiracy (Book 31),K.A. Applegate,Science Fiction,T,1,0,TRUE
Animorphs: The Departure (Book 19),K.A. Applegate,Science Fiction,T,1,0,TRUE
Animorphs: The Discovery (Book 20),K.A. Applegate,Science Fiction,T,1,0,TRUE
Animorphs: The Encounter (Book 3),K.A. Applegate,Science Fiction,T,2,0,TRUE
Animorphs: The Escape (Book 15),K.A. Applegate,Science Fiction,T,1,0,TRUE
Animorphs: The Forgotten (Book 11),K.A. Applegate,Science Fiction,T,1,0,TRUE
Animorphs: The Invasion (Book 1),K.A. Applegate,Science Fiction,T,1,0,TRUE
Animorphs: The Predator (Book 5),K.A. Applegate,Science Fiction,T,1,0,TRUE
Animorphs: The Pretender (Book 23),K.A. Applegate,Science Fiction,T,1,0,TRUE
Animorphs: The Prophesy (Book 34),K.A. Applegate,Science Fiction,T,1,0,TRUE
Animorphs: The Return (Book 48),K.A. Applegate,Science Fiction,T,1,0,TRUE
Animorphs: The Secret (Book 9),K.A. Applegate,Science Fiction,T,1,0,TRUE
